year,month,month_a,average,trend
1980,1,Jan,338.55,337.93
1980,2,Feb,339.27,338.22
1980,3,Mar,339.6,338.25
1980,4,Apr,339.99,338.37
1980,5,May,340.43,338.9
1980,6,Jun,339.99,339.2
1980,7,Jul,338.44,339.3
1980,8,Aug,337.21,339.49
1980,9,Sep,337.05,339.45
1980,10,Oct,337.82,339.16
1980,11,Nov,338.93,339.26
1980,12,Dec,339.64,339.4
1981,1,Jan,340.19,339.55
1981,2,Feb,340.75,339.7
1981,3,Mar,341.38,340.03
1981,4,Apr,341.68,340.06
1981,5,May,341.43,339.89
1981,6,Jun,340.62,339.84
1981,7,Jul,339.22,340.08
1981,8,Aug,338.08,340.36
1981,9,Sep,337.98,340.37
1981,10,Oct,339.07,340.42
1981,11,Nov,340.18,340.51
1981,12,Dec,340.75,340.51
1982,1,Jan,341.37,340.76
1982,2,Feb,341.95,340.89
1982,3,Mar,342.23,340.85
1982,4,Apr,342.52,340.9
1982,5,May,342.36,340.82
1982,6,Jun,341.49,340.72
1982,7,Jul,339.75,340.61
1982,8,Aug,338.11,340.4
1982,9,Sep,338.16,340.54
1982,10,Oct,339.62,340.96
1982,11,Nov,340.95,341.28
1982,12,Dec,341.77,341.53
1983,1,Jan,342.37,341.71
1983,2,Feb,342.74,341.71
1983,3,Mar,343.03,341.7
1983,4,Apr,343.51,341.93
1983,5,May,343.84,342.31
1983,6,Jun,343.5,342.7
1983,7,Jul,342.14,342.91
1983,8,Aug,340.63,342.86
1983,9,Sep,340.54,342.96
1983,10,Oct,341.75,343.16
1983,11,Nov,342.82,343.17
1983,12,Dec,343.49,343.27
1984,1,Jan,344.32,343.66
1984,2,Feb,344.82,343.82
1984,3,Mar,344.96,343.61
1984,4,Apr,345.19,343.56
1984,5,May,345.33,343.78
1984,6,Jun,344.57,343.8
1984,7,Jul,343.2,344.01
1984,8,Aug,342.21,344.5
1984,9,Sep,342.13,344.58
1984,10,Oct,342.99,344.37
1984,11,Nov,344.16,344.47
1984,12,Dec,345.01,344.72
1985,1,Jan,345.36,344.67
1985,2,Feb,345.81,344.78
1985,3,Mar,346.65,345.33
1985,4,Apr,346.94,345.34
1985,5,May,346.78,345.21
1985,6,Jun,346.27,345.48
1985,7,Jul,344.93,345.76
1985,8,Aug,343.42,345.73
1985,9,Sep,343.37,345.82
1985,10,Oct,344.65,346.04
1985,11,Nov,345.79,346.12
1985,12,Dec,346.55,346.25
